GeneID	Normal 6	Tumor 6	Normal 10	Tumor 10	Normal 9	Tumor 9	Normal 5	Tumor 5	Normal 8	Tumor 8	Normal 3	Tumor 3	Normal 2	Tumor 2	Normal 1	Tumor 1	Normal 4	Tumor 4	Normal 7	Tumor 7
SMN2	3.053642635	4.611531062	5.372831164	10.61791509	14.42594568	13.6148184	9.106956831	11.28978313	13.68358431	9.498197401	13.8848993	13.98050931	8.128744411	17.01690779	11.44505474	15.45603791	12.57453576	9.229818368	7.020998763	9.939268543
LOC728416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC728417	0.224151365	0.250207069	0.081987975	0.066069083	0.170427946	0.038954721	0.120069856	0.09657167	0	0.025577641	0.111352926	0.118156905	0.035069601	0.120778367	0.017085179	0.030038141	0.208994755	0.180370127	0.1387406	0.112085015
SMN1	5.907575422	8.470081872	14.75272287	13.18501346	18.23407716	12.57433209	11.6419301	11.81940829	7.609315575	14.3668903	15.26435612	14.70663545	21.36135818	18.76637174	12.74366654	11.3943078	14.16243902	14.25404993	15.28241801	9.753209382
AGPAT5P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1407	3.370241997	5.426423999	4.540769739	5.898088718	4.761201249	12.68691274	6.91469024	5.55356709	3.749180405	4.136902707	4.202359781	7.036168926	7.167500939	13.62092642	2.386520993	3.135837313	4.981436875	8.398255666	4.895949622	7.286723616
KYNUP3	0	0	0	0.028469026	0	0	0	0	0	0	0	0	0	0	0	0	0.033178302	0	0	0
AC078941.1	0.020407759	0.044136229	0	0	0.120253147	0	0.028240239	0.090854014	0	0.072189848	0.130950157	0.041685475	0	0.102264769	0	0.254337228	0	0.084845535	0	0.022596187
RP11-586D19.1	0.028859458	0	0.29087481	0.075342272	0	0	0	0	0.132169716	0	0.18518204	0.176847468	0	0	0	0.119889602	0.175610407	0.039994528	0.110749567	0
SLC4A10	0.247637495	0.284014432	0.510533423	0.313453402	0.250571257	0.181926253	0.39460184	0.111360199	0.240571564	0.013272516	0.260020098	0.229923385	0.594467918	0.338435323	0.345761714	0.135088354	0.136989033	0.010399558	0.23038082	0.083088762
LOC101927197	0.204402043	0.7367733	0	0.266812258	0	0.183533091	0	0.303328185	0	0.482030779	0	0.278344982	0	0	2.253885461	0.094348733	0.207298454	0.188845389	0	0.075440368
SLC4A11	0.826731363	0.065734809	0.459520312	1.936136081	1.289523106	7.073912028	0.82437465	1.750067382	0.807360118	0.946147791	1.17019289	1.862542484	1.218644604	0.69046851	0.718183361	0.959626986	1.923494421	3.336054239	0.956452116	2.611542241
LOC101927194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927198	0	0	0.109966673	0.227868174	0.171440332	0	0	0	0	0	0.336043172	0.534864542	0.141111695	0.291589972	0.206240028	0	0	0.483844193	0	0
LOC101927199	0	0.092316814	0	0.780062664	0	0.919859078	0.11813646	0	0	0	0	0	0	0.285200551	0	0	0	0	0	0
DAB2	55.79422007	13.40634361	49.87458285	37.24173732	32.95004177	15.10460188	27.00346306	25.90356335	64.11581377	6.869881504	45.14920054	27.54992203	22.10641527	43.85982795	43.40193869	20.63737556	26.62510075	17.68460516	22.39429189	10.60218377
DAB1	0.597994813	0.197586607	0.439483089	0.390290489	0.750416924	0.268470498	0.206876173	0.59160753	0.912893157	0.146897946	1.38563538	0.2714403	0.590809509	0.665910123	0.627992892	0.023002075	0.429581854	0.943824366	0.701199296	0.459806122
OR13A1	0.061871456	0	0.103933853	0.188446322	0	0.111109061	0.114156887	0.061210596	0.094452372	0	0.052934616	0.084253606	0	0	0.024365701	0.02855888	0	0.028581268	0	0.114177074
DDX11L1	0.025942067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC728424	0.013489548	0	0	0.035216643	0.052991629	0	0	0	0	0	0.034623271	0	0	0	0	0	0.020521046	0	0	0
DDX11L2	0.278029717	0.429499912	0.27522243	0.414766538	0.429077493	0.64194058	0.851918253	0.501002206	0.227377234	0.07024962	0.356805802	0.24339063	0.288958564	0.331720752	0.187699451	0.247501473	0.362532143	0.495390985	0.533476253	0.791599492
OR13H1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFSP2	13.72698475	11.6101102	13.61756283	9.476452129	14.25952615	8.734601337	10.51975629	9.70407938	12.87029696	10.2913774	15.32760851	13.32042783	9.377907212	8.335073007	11.45017936	8.855653784	9.50937	9.23707173	10.99185966	10.07282717
KIAA1430	8.088685596	12.69303475	11.9649293	8.686589559	10.86157455	8.049273771	11.2525274	10.75466865	11.08970389	9.780560006	9.796467548	11.75144516	10.52267452	11.11573575	8.521502433	8.977307472	7.367298171	8.460753942	11.45079742	10.67693583
UFSP1	0.645426128	2.047282916	0.704736221	2.078153173	1.943851068	2.086306886	1.607652187	0.893945113	0.985301349	0.532726285	1.214838804	1.142583793	1.18258968	0.574982636	1.270881701	0.536253191	1.178229466	2.087063871	1.073303414	1.715132232
